epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
87,0.572+-0.085,2.49+-0.315,0.518+-0.041,0.968+-0.006,0.518+-0.041,0.463+-0.016,0.504+-0.064
88,0.638+-0.142,2.72+-0.71,0.476+-0.084,0.972+-0.008,0.476+-0.084,0.463+-0.041,0.463+-0.1
89,0.607+-0.258,2.264+-0.361,0.52+-0.08,0.972+-0.004,0.52+-0.08,0.479+-0.045,0.516+-0.088
90,0.642+-0.364,2.227+-0.379,0.523+-0.073,0.969+-0.007,0.523+-0.073,0.457+-0.031,0.51+-0.09
91,0.612+-0.133,2.203+-0.642,0.547+-0.052,0.978+-0.006,0.547+-0.052,0.493+-0.035,0.544+-0.059
92,0.61+-0.233,2.424+-0.742,0.532+-0.076,0.97+-0.013,0.532+-0.076,0.476+-0.05,0.52+-0.092
93,0.614+-0.217,2.212+-0.349,0.544+-0.029,0.976+-0.004,0.544+-0.029,0.493+-0.02,0.54+-0.038
94,0.593+-0.147,2.645+-0.323,0.496+-0.022,0.962+-0.006,0.496+-0.022,0.445+-0.014,0.483+-0.031
95,0.59+-0.21,2.58+-1.084,0.514+-0.062,0.975+-0.004,0.514+-0.062,0.463+-0.038,0.494+-0.091
96,0.625+-0.331,2.299+-0.275,0.526+-0.019,0.974+-0.006,0.526+-0.019,0.478+-0.013,0.518+-0.028
97,0.699+-0.406,2.987+-1.579,0.489+-0.105,0.959+-0.032,0.489+-0.105,0.451+-0.06,0.466+-0.145
98,0.612+-0.194,2.45+-0.703,0.526+-0.056,0.969+-0.011,0.526+-0.056,0.464+-0.037,0.518+-0.056
99,0.661+-0.307,2.3+-0.539,0.55+-0.032,0.978+-0.006,0.55+-0.032,0.493+-0.019,0.544+-0.028
