epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
32,0.048+-0.011,1.724+-0.218,0.631+-0.013,0.977+-0.001,0.631+-0.013,0.555+-0.013,0.625+-0.009
33,0.043+-0.015,1.661+-0.09,0.647+-0.009,0.978+-0.005,0.647+-0.009,0.56+-0.022,0.641+-0.011
34,0.04+-0.013,1.754+-0.173,0.623+-0.031,0.973+-0.009,0.623+-0.031,0.521+-0.058,0.618+-0.031
35,0.04+-0.01,1.755+-0.127,0.625+-0.031,0.975+-0.009,0.625+-0.031,0.549+-0.029,0.621+-0.031
36,0.033+-0.008,1.795+-0.086,0.626+-0.011,0.976+-0.003,0.626+-0.011,0.53+-0.022,0.618+-0.011
37,0.027+-0.007,1.76+-0.065,0.64+-0.012,0.974+-0.003,0.64+-0.012,0.55+-0.009,0.632+-0.009
38,0.023+-0.002,1.756+-0.166,0.644+-0.008,0.977+-0.005,0.644+-0.008,0.558+-0.012,0.638+-0.011
39,0.023+-0.005,1.837+-0.059,0.634+-0.017,0.976+-0.002,0.634+-0.017,0.547+-0.011,0.629+-0.013
40,0.02+-0.001,1.846+-0.084,0.645+-0.005,0.973+-0.001,0.645+-0.005,0.545+-0.011,0.638+-0.006
41,0.018+-0.004,1.848+-0.093,0.632+-0.01,0.975+-0.002,0.632+-0.01,0.543+-0.019,0.627+-0.01
42,0.017+-0.001,2.019+-0.16,0.642+-0.005,0.975+-0.005,0.642+-0.005,0.536+-0.007,0.632+-0.009
43,0.016+-0.005,1.913+-0.071,0.634+-0.016,0.975+-0.007,0.634+-0.016,0.541+-0.009,0.628+-0.015
44,0.019+-0.008,1.977+-0.128,0.633+-0.007,0.972+-0.003,0.633+-0.007,0.55+-0.007,0.629+-0.006
45,0.016+-0.01,1.921+-0.04,0.635+-0.016,0.973+-0.003,0.635+-0.016,0.542+-0.017,0.631+-0.011
46,0.013+-0.006,1.992+-0.091,0.634+-0.012,0.973+-0.003,0.634+-0.012,0.55+-0.01,0.628+-0.011
