Trial name,status,loc,hidden_dim,lr,momentum,out_dim,weight_decay,loss,training_iteration
train_6636c_00200,TERMINATED,192.168.7.50:28405,512,0.01,0.99,512,1e-05,-0.8775,4
train_6636c_00057,TERMINATED,192.168.7.50:46645,128,0.1,0.99,512,0.0,-0.8775,4
train_6636c_00122,TERMINATED,192.168.7.50:104675,512,0.0001,0.99,512,0.0001,-0.8761,4
train_6636c_00072,TERMINATED,192.168.7.50:62031,128,0.0001,0.99,128,0.0001,-0.876,4
train_6636c_00145,TERMINATED,192.168.7.50:126017,256,0.0001,0.99,128,1e-05,-0.8755,4
train_6636c_00098,TERMINATED,192.168.7.50:85305,512,0.0001,0.99,256,0.0001,-0.8752,4
train_6636c_00083,TERMINATED,192.168.7.50:70132,512,0.1,0.99,128,0.0001,-0.8751,4
train_6636c_00177,TERMINATED,192.168.7.50:5310,128,0.1,0.99,256,1e-05,-0.8751,4
train_6636c_00199,TERMINATED,192.168.7.50:27667,256,0.01,0.99,512,1e-05,-0.875,4
train_6636c_00039,TERMINATED,192.168.7.50:31538,128,0.001,0.9,256,0.0,-0.8749,4
train_6636c_00009,TERMINATED,192.168.7.50:151494,128,0.1,0.99,128,0.0,-0.8749,4
train_6636c_00074,TERMINATED,192.168.7.50:62375,512,0.0001,0.99,128,0.0001,-0.8746,4
train_6636c_00136,TERMINATED,192.168.7.50:116114,256,0.001,0.9,512,0.0001,-0.8741,4
train_6636c_00025,TERMINATED,192.168.7.50:19472,256,0.0001,0.99,256,0.0,-0.8732,4
train_6636c_00169,TERMINATED,192.168.7.50:150504,256,0.0001,0.99,256,1e-05,-0.8731,4
train_6636c_00167,TERMINATED,192.168.7.50:148064,512,0.1,0.9,128,1e-05,-0.8727,4
train_6636c_00151,TERMINATED,192.168.7.50:130265,256,0.01,0.99,128,1e-05,-0.8722,4
train_6636c_00111,TERMINATED,192.168.7.50:92778,128,0.001,0.9,256,0.0001,-0.872,4
train_6636c_00050,TERMINATED,192.168.7.50:43393,512,0.0001,0.99,512,0.0,-0.8718,4
train_6636c_00183,TERMINATED,192.168.7.50:11475,128,0.001,0.9,256,1e-05,-0.8716,4
train_6636c_00128,TERMINATED,192.168.7.50:107535,512,0.01,0.99,512,0.0001,-0.8711,4
train_6636c_00073,TERMINATED,192.168.7.50:62316,256,0.0001,0.99,128,0.0001,-0.8709,4
train_6636c_00214,TERMINATED,192.168.7.50:42904,256,0.1,0.9,512,1e-05,-0.87,4
train_6636c_00096,TERMINATED,192.168.7.50:83045,128,0.0001,0.99,256,0.0001,-0.8699,4
train_6636c_00047,TERMINATED,192.168.7.50:40844,512,0.1,0.9,256,0.0,-0.8693,4
train_6636c_00028,TERMINATED,192.168.7.50:22013,256,0.001,0.99,256,0.0,-0.8691,4
train_6636c_00119,TERMINATED,192.168.7.50:102187,512,0.1,0.9,256,0.0001,-0.8684,4
train_6636c_00077,TERMINATED,192.168.7.50:65067,512,0.001,0.99,128,0.0001,-0.868,4
train_6636c_00170,TERMINATED,192.168.7.50:1271,512,0.0001,0.99,256,1e-05,-0.867,4
train_6636c_00143,TERMINATED,192.168.7.50:124776,512,0.1,0.9,512,0.0001,-0.8663,4
train_6636c_00194,TERMINATED,192.168.7.50:23638,512,0.0001,0.99,512,1e-05,-0.8663,4
train_6636c_00118,TERMINATED,192.168.7.50:100209,256,0.1,0.9,256,0.0001,-0.8653,4
train_6636c_00064,TERMINATED,192.168.7.50:52930,256,0.001,0.9,512,0.0,-0.8644,4
train_6636c_00049,TERMINATED,192.168.7.50:41367,256,0.0001,0.99,512,0.0,-0.8643,4
train_6636c_00080,TERMINATED,192.168.7.50:67578,512,0.01,0.99,128,0.0001,-0.8627,12
train_6636c_00024,TERMINATED,192.168.7.50:19202,128,0.0001,0.99,256,0.0,-0.8619,4
train_6636c_00003,TERMINATED,192.168.7.50:144538,128,0.001,0.99,128,0.0,-0.8618,4
