Trial name,status,loc,hidden_dim,lr,out_dim,weight_decay,loss,training_iteration
train_63b42_00102,TERMINATED,192.168.7.50:124234,128,2.26274,128,1e-05,9.7582,12
train_63b42_00030,TERMINATED,192.168.7.50:46097,128,0.0001,512,0.0,9.7593,12
train_63b42_00062,TERMINATED,192.168.7.50:78534,512,0.0001,256,0.0001,9.7631,12
train_63b42_00040,TERMINATED,192.168.7.50:55930,256,0.1,512,0.0,9.7645,4
train_63b42_00086,TERMINATED,192.168.7.50:107933,512,0.1,512,0.0001,9.7725,12
train_63b42_00041,TERMINATED,192.168.7.50:56653,512,0.1,512,0.0,9.7864,4
train_63b42_00069,TERMINATED,192.168.7.50:87805,128,0.1,256,0.0001,9.792,12
train_63b42_00039,TERMINATED,192.168.7.50:55470,128,0.1,512,0.0,9.7931,4
train_63b42_00020,TERMINATED,192.168.7.50:36968,512,0.001,256,0.0,9.7996,12
train_63b42_00099,TERMINATED,192.168.7.50:121984,128,0.1,128,1e-05,9.8012,4
train_63b42_00064,TERMINATED,192.168.7.50:82716,256,0.001,256,0.0001,9.807,12
train_63b42_00000,TERMINATED,192.168.7.50:21616,128,0.0001,128,0.0,9.8084,12
train_63b42_00089,TERMINATED,192.168.7.50:112540,512,2.26274,512,0.0001,9.8189,12
train_63b42_00045,TERMINATED,192.168.7.50:59546,128,0.0001,128,0.0001,9.8202,12
train_63b42_00063,TERMINATED,192.168.7.50:79437,128,0.001,256,0.0001,9.8204,12
train_63b42_00123,TERMINATED,192.168.7.50:146125,128,0.001,512,1e-05,9.8274,12
train_63b42_00087,TERMINATED,192.168.7.50:111257,128,2.26274,512,0.0001,9.8333,12
train_63b42_00101,TERMINATED,192.168.7.50:123148,512,0.1,128,1e-05,9.8371,4
train_63b42_00079,TERMINATED,192.168.7.50:100634,256,0.001,512,0.0001,9.8476,12
train_63b42_00026,TERMINATED,192.168.7.50:43460,512,0.1,256,0.0,9.8695,4
train_63b42_00044,TERMINATED,192.168.7.50:59073,512,2.26274,512,0.0,9.8744,4
train_63b42_00042,TERMINATED,192.168.7.50:58124,128,2.26274,512,0.0,9.8887,4
train_63b42_00097,TERMINATED,192.168.7.50:120323,256,0.01,128,1e-05,9.8888,4
train_63b42_00088,TERMINATED,192.168.7.50:111259,256,2.26274,512,0.0001,9.9049,12
train_63b42_00027,TERMINATED,192.168.7.50:43529,128,2.26274,256,0.0,9.9067,4
train_63b42_00019,TERMINATED,192.168.7.50:35319,256,0.001,256,0.0,9.9388,12
train_63b42_00014,TERMINATED,192.168.7.50:32717,512,2.26274,128,0.0,9.9498,4
train_63b42_00012,TERMINATED,192.168.7.50:31655,128,2.26274,128,0.0,9.9525,4
train_63b42_00028,TERMINATED,192.168.7.50:44331,256,2.26274,256,0.0,9.9673,4
train_63b42_00060,TERMINATED,192.168.7.50:76319,128,0.0001,256,0.0001,9.9793,12
train_63b42_00013,TERMINATED,192.168.7.50:32078,256,2.26274,128,0.0,10.0122,4
train_63b42_00072,TERMINATED,192.168.7.50:89847,128,2.26274,256,0.0001,10.0443,12
train_63b42_00074,TERMINATED,192.168.7.50:94994,512,2.26274,256,0.0001,10.0523,12
train_63b42_00073,TERMINATED,192.168.7.50:93712,256,2.26274,256,0.0001,10.0569,12
train_63b42_00029,TERMINATED,192.168.7.50:44382,512,2.26274,256,0.0,10.2451,4
train_63b42_00043,TERMINATED,192.168.7.50:58653,256,2.26274,512,0.0,10.2488,4
train_63b42_00059,TERMINATED,192.168.7.50:76227,512,2.26274,128,0.0001,10.3811,12
train_63b42_00058,TERMINATED,192.168.7.50:72870,256,2.26274,128,0.0001,10.3854,12
train_63b42_00057,TERMINATED,192.168.7.50:71836,128,2.26274,128,0.0001,10.3918,12
