Trial name,status,loc,hidden_dim,lr,momentum,out_dim,weight_decay,loss,training_iteration
train_3de10_00001,TERMINATED,192.168.7.51:27691,256,0.0001,0.99,128,0.0,9.8483,4
train_3de10_00050,TERMINATED,192.168.7.51:91846,512,0.0001,0.99,512,0.0,9.8497,4
train_3de10_00025,TERMINATED,192.168.7.51:61592,256,0.0001,0.99,256,0.0,9.8524,4
train_3de10_00121,TERMINATED,192.168.7.51:179992,256,0.0001,0.99,512,0.0001,9.8526,4
train_3de10_00101,TERMINATED,192.168.7.51:155264,512,0.001,0.99,256,0.0001,9.8537,4
train_3de10_00122,TERMINATED,192.168.7.51:182249,512,0.0001,0.99,512,0.0001,9.8558,4
train_3de10_00173,TERMINATED,192.168.7.51:57834,512,0.001,0.99,256,1e-05,9.8559,4
train_3de10_00012,TERMINATED,192.168.7.51:42777,128,0.0001,0.9,128,0.0,9.8582,4
train_3de10_00169,TERMINATED,192.168.7.51:54030,256,0.0001,0.99,256,1e-05,9.8595,4
train_3de10_00163,TERMINATED,192.168.7.51:40778,256,0.01,0.9,128,1e-05,9.8627,12
train_3de10_00157,TERMINATED,192.168.7.51:34057,256,0.0001,0.9,128,1e-05,9.8644,4
train_3de10_00086,TERMINATED,192.168.7.51:133715,512,0.0001,0.9,128,0.0001,9.8661,4
train_3de10_00168,TERMINATED,192.168.7.51:53899,128,0.0001,0.99,256,1e-05,9.8663,4
train_3de10_00139,TERMINATED,192.168.7.51:9776,256,0.01,0.9,512,0.0001,9.8688,12
train_3de10_00193,TERMINATED,192.168.7.51:79842,256,0.0001,0.99,512,1e-05,9.8716,4
train_3de10_00195,TERMINATED,192.168.7.51:82893,128,0.001,0.99,512,1e-05,9.873,4
train_3de10_00014,TERMINATED,192.168.7.51:45397,512,0.0001,0.9,128,0.0,9.8732,4
train_3de10_00192,TERMINATED,192.168.7.51:79765,128,0.0001,0.99,512,1e-05,9.8737,4
train_3de10_00064,TERMINATED,192.168.7.51:105573,256,0.001,0.9,512,0.0,9.8747,12
train_3de10_00158,TERMINATED,192.168.7.51:36372,512,0.0001,0.9,128,1e-05,9.8749,4
train_3de10_00088,TERMINATED,192.168.7.51:134329,256,0.001,0.9,128,0.0001,9.877,12
train_3de10_00211,TERMINATED,192.168.7.51:99663,256,0.01,0.9,512,1e-05,9.8797,12
train_3de10_00085,TERMINATED,192.168.7.51:130867,256,0.0001,0.9,128,0.0001,9.8811,4
train_3de10_00114,TERMINATED,192.168.7.51:167126,128,0.01,0.9,256,0.0001,9.8817,12
train_3de10_00036,TERMINATED,192.168.7.51:72964,128,0.0001,0.9,256,0.0,9.8929,4
train_3de10_00180,TERMINATED,192.168.7.51:64350,128,0.0001,0.9,256,1e-05,9.8942,4
train_3de10_00048,TERMINATED,192.168.7.51:90961,128,0.0001,0.99,512,0.0,9.8952,4
train_3de10_00089,TERMINATED,192.168.7.51:134339,512,0.001,0.9,128,0.0001,9.8989,12
train_3de10_00110,TERMINATED,192.168.7.51:163621,512,0.0001,0.9,256,0.0001,9.9022,4
train_3de10_00084,TERMINATED,192.168.7.51:130865,128,0.0001,0.9,128,0.0001,9.9025,4
train_3de10_00065,TERMINATED,192.168.7.51:106213,512,0.001,0.9,512,0.0,9.908,12
train_3de10_00204,TERMINATED,192.168.7.51:92448,128,0.0001,0.9,512,1e-05,9.9191,4
train_3de10_00037,TERMINATED,192.168.7.51:73460,256,0.0001,0.9,256,0.0,9.9203,4
train_3de10_00106,TERMINATED,192.168.7.51:159899,256,0.1,0.99,256,0.0001,9.9231,4
train_3de10_00160,TERMINATED,192.168.7.51:36957,256,0.001,0.9,128,1e-05,9.9303,12
