Trial name,status,loc,hidden_dim,lr,momentum,out_dim,weight_decay,loss,training_iteration
train_c4c15_00078,TERMINATED,192.168.7.51:75997,128,0.01,0.99,128,0.0001,51.0641,4
train_c4c15_00152,TERMINATED,192.168.7.51:159407,512,0.01,0.99,128,1e-05,51.2553,4
train_c4c15_00008,TERMINATED,192.168.7.51:5306,512,0.01,0.99,128,0.0,51.366,4
train_c4c15_00006,TERMINATED,192.168.7.51:3146,128,0.01,0.99,128,0.0,51.508,4
train_c4c15_00149,TERMINATED,192.168.7.51:156352,512,0.001,0.99,128,1e-05,51.7125,4
train_c4c15_00186,TERMINATED,192.168.7.51:19661,128,0.01,0.9,256,1e-05,51.7323,4
train_c4c15_00151,TERMINATED,192.168.7.51:158090,256,0.01,0.99,128,1e-05,51.78,4
train_c4c15_00150,TERMINATED,192.168.7.51:157999,128,0.01,0.99,128,1e-05,52.3542,4
train_c4c15_00164,TERMINATED,192.168.7.51:178430,512,0.01,0.9,128,1e-05,52.3552,4
train_c4c15_00115,TERMINATED,192.168.7.51:122931,256,0.01,0.9,256,0.0001,52.6082,4
train_c4c15_00081,TERMINATED,192.168.7.51:79392,128,0.1,0.99,128,0.0001,53.5034,4
train_c4c15_00080,TERMINATED,192.168.7.51:78020,512,0.01,0.99,128,0.0001,53.5237,4
train_c4c15_00009,TERMINATED,192.168.7.51:5696,128,0.1,0.99,128,0.0,53.6654,4
train_c4c15_00154,TERMINATED,192.168.7.51:161721,256,0.1,0.99,128,1e-05,53.8895,4
train_c4c15_00011,TERMINATED,192.168.7.51:8756,512,0.1,0.99,128,0.0,53.9993,4
train_c4c15_00083,TERMINATED,192.168.7.51:81365,512,0.1,0.99,128,0.0001,54.15,4
train_c4c15_00153,TERMINATED,192.168.7.51:159869,128,0.1,0.99,128,1e-05,54.3781,4
train_c4c15_00155,TERMINATED,192.168.7.51:161791,512,0.1,0.99,128,1e-05,54.4234,4
train_c4c15_00079,TERMINATED,192.168.7.51:77550,256,0.01,0.99,128,0.0001,54.4429,4
train_c4c15_00010,TERMINATED,192.168.7.51:8335,256,0.1,0.99,128,0.0,55.3874,4
train_c4c15_00187,TERMINATED,192.168.7.51:19761,256,0.01,0.9,256,1e-05,56.806,4
train_c4c15_00114,TERMINATED,192.168.7.51:121253,128,0.01,0.9,256,0.0001,57.5455,4
train_c4c15_00188,TERMINATED,192.168.7.51:21803,512,0.01,0.9,256,1e-05,57.9243,4
train_c4c15_00042,TERMINATED,192.168.7.51:41627,128,0.01,0.9,256,0.0,59.1987,4
train_c4c15_00189,TERMINATED,192.168.7.51:22519,128,0.1,0.9,256,1e-05,59.5945,4
train_c4c15_00190,TERMINATED,192.168.7.51:23553,256,0.1,0.9,256,1e-05,63.1661,4
train_c4c15_00118,TERMINATED,192.168.7.51:126063,256,0.1,0.9,256,0.0001,63.635,4
train_c4c15_00046,TERMINATED,192.168.7.51:44465,256,0.1,0.9,256,0.0,63.7863,4
