epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
18,0.003+-0.002,1.124+-0.051,0.729+-0.008,0.988+-0.002,0.729+-0.008,0.634+-0.019,0.722+-0.008
19,0.002+-0.001,1.125+-0.042,0.732+-0.005,0.988+-0.002,0.732+-0.005,0.638+-0.02,0.726+-0.006
20,0.001+-0.0,1.13+-0.032,0.734+-0.007,0.988+-0.001,0.734+-0.007,0.63+-0.022,0.727+-0.007
21,0.001+-0.001,1.153+-0.03,0.729+-0.01,0.989+-0.002,0.729+-0.01,0.629+-0.024,0.721+-0.011
22,0.001+-0.0,1.125+-0.032,0.734+-0.008,0.988+-0.001,0.734+-0.008,0.637+-0.028,0.728+-0.009
23,0.001+-0.0,1.125+-0.032,0.734+-0.009,0.987+-0.002,0.734+-0.009,0.636+-0.03,0.727+-0.009
24,0.001+-0.0,1.145+-0.042,0.734+-0.007,0.988+-0.002,0.734+-0.007,0.636+-0.019,0.727+-0.007
25,0.001+-0.0,1.144+-0.039,0.736+-0.006,0.989+-0.002,0.736+-0.006,0.636+-0.023,0.729+-0.006
26,0.001+-0.0,1.146+-0.038,0.735+-0.006,0.988+-0.002,0.735+-0.006,0.633+-0.023,0.727+-0.006
27,0.001+-0.001,1.156+-0.068,0.734+-0.009,0.987+-0.001,0.734+-0.009,0.638+-0.023,0.727+-0.011
28,0.0+-0.001,1.157+-0.045,0.735+-0.008,0.988+-0.002,0.735+-0.008,0.636+-0.023,0.729+-0.007
29,0.0+-0.0,1.165+-0.061,0.735+-0.007,0.989+-0.002,0.735+-0.007,0.635+-0.022,0.728+-0.008
30,0.0+-0.0,1.166+-0.042,0.736+-0.006,0.988+-0.002,0.736+-0.006,0.644+-0.014,0.73+-0.006
31,0.0+-0.0,1.16+-0.038,0.738+-0.007,0.988+-0.001,0.738+-0.007,0.638+-0.021,0.731+-0.007
32,0.0+-0.001,1.161+-0.043,0.736+-0.009,0.988+-0.002,0.736+-0.009,0.638+-0.02,0.729+-0.01
33,0.0+-0.001,1.168+-0.029,0.737+-0.008,0.988+-0.002,0.737+-0.008,0.64+-0.014,0.731+-0.008
34,0.0+-0.0,1.16+-0.036,0.736+-0.008,0.989+-0.001,0.736+-0.008,0.639+-0.018,0.729+-0.009
35,0.0+-0.0,1.163+-0.041,0.736+-0.009,0.989+-0.002,0.736+-0.009,0.639+-0.022,0.73+-0.009
36,0.0+-0.0,1.163+-0.036,0.737+-0.01,0.988+-0.001,0.737+-0.01,0.639+-0.018,0.73+-0.009
37,0.0+-0.0,1.167+-0.033,0.737+-0.009,0.988+-0.001,0.737+-0.009,0.642+-0.023,0.731+-0.01
38,0.0+-0.0,1.186+-0.019,0.738+-0.006,0.988+-0.001,0.738+-0.006,0.644+-0.014,0.731+-0.006
39,0.0+-0.0,1.182+-0.051,0.738+-0.01,0.987+-0.002,0.738+-0.01,0.645+-0.013,0.731+-0.011
40,0.0+-0.0,1.178+-0.036,0.738+-0.007,0.988+-0.001,0.738+-0.007,0.644+-0.024,0.731+-0.007
41,0.0+-0.001,1.175+-0.024,0.735+-0.004,0.988+-0.001,0.735+-0.004,0.639+-0.022,0.728+-0.003
42,0.0+-0.0,1.192+-0.035,0.732+-0.005,0.988+-0.002,0.732+-0.005,0.633+-0.02,0.725+-0.004
43,0.0+-0.0,1.185+-0.023,0.734+-0.005,0.987+-0.002,0.734+-0.005,0.634+-0.024,0.726+-0.005
44,0.0+-0.0,1.185+-0.036,0.736+-0.007,0.987+-0.002,0.736+-0.007,0.644+-0.01,0.73+-0.008
45,0.0+-0.001,1.197+-0.027,0.735+-0.005,0.988+-0.002,0.735+-0.005,0.636+-0.025,0.728+-0.004
46,0.0+-0.0,1.188+-0.036,0.735+-0.007,0.988+-0.001,0.735+-0.007,0.635+-0.02,0.729+-0.007
47,0.0+-0.0,1.205+-0.034,0.734+-0.003,0.988+-0.001,0.734+-0.003,0.635+-0.018,0.727+-0.004
48,0.0+-0.0,1.202+-0.042,0.735+-0.005,0.988+-0.001,0.735+-0.005,0.636+-0.011,0.728+-0.006
49,0.0+-0.0,1.198+-0.023,0.735+-0.006,0.988+-0.001,0.735+-0.006,0.632+-0.018,0.728+-0.005
