epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
88,0.001+-0.001,1.423+-0.186,0.624+-0.009,0.968+-0.007,0.624+-0.009,0.374+-0.051,0.597+-0.005
89,0.0+-0.0,1.435+-0.195,0.625+-0.009,0.968+-0.008,0.625+-0.009,0.373+-0.054,0.597+-0.006
90,0.0+-0.0,1.435+-0.174,0.625+-0.007,0.967+-0.008,0.625+-0.007,0.374+-0.053,0.596+-0.003
91,0.001+-0.001,1.423+-0.158,0.626+-0.007,0.968+-0.008,0.626+-0.007,0.376+-0.05,0.597+-0.004
92,0.0+-0.001,1.432+-0.144,0.624+-0.009,0.968+-0.008,0.624+-0.009,0.376+-0.047,0.596+-0.007
93,0.0+-0.001,1.427+-0.146,0.624+-0.009,0.968+-0.008,0.624+-0.009,0.375+-0.046,0.596+-0.008
94,0.001+-0.001,1.432+-0.169,0.626+-0.007,0.968+-0.007,0.626+-0.007,0.376+-0.054,0.598+-0.003
95,0.0+-0.001,1.428+-0.146,0.628+-0.006,0.967+-0.009,0.628+-0.006,0.378+-0.05,0.6+-0.005
96,0.0+-0.0,1.441+-0.136,0.626+-0.006,0.968+-0.008,0.626+-0.006,0.373+-0.047,0.596+-0.007
97,0.0+-0.001,1.423+-0.15,0.626+-0.01,0.968+-0.008,0.626+-0.01,0.377+-0.043,0.598+-0.01
98,0.0+-0.0,1.425+-0.144,0.627+-0.011,0.968+-0.008,0.627+-0.011,0.378+-0.042,0.6+-0.011
99,0.0+-0.0,1.438+-0.156,0.626+-0.01,0.969+-0.008,0.626+-0.01,0.372+-0.047,0.597+-0.009
